h,averageIndividualDifference,averageIndividualDifferencePts,totalSpread,totalSpreadPts,spreadDifference,spreadDifferencePts
305,3.000,9.143,65.000,1.272,3.200,9.840
301,3.200,9.086,64.600,1.264,2.600,9.870
303,3.400,9.029,64.400,1.260,2.600,9.870
302,3.600,8.971,64.600,1.264,2.400,9.880
300,3.600,8.971,64.800,1.268,2.800,9.860
324,3.800,8.914,62.400,1.221,1.600,9.920
307,3.800,8.914,64.200,1.256,2.400,9.880
316,4.000,8.857,66.400,1.299,2.800,9.860
299,3.400,9.029,65.000,1.272,5.800,9.710
312,4.000,8.857,62.400,1.221,1.600,9.920
304,4.200,8.800,64.200,1.256,1.200,9.940
311,4.200,8.800,62.800,1.229,1.200,9.940
298,4.000,8.857,66.600,1.303,4.200,9.790
57,4.000,8.857,65.200,1.276,4.800,9.760
359,2.800,9.200,57.200,1.119,8.800,9.560
356,3.200,9.086,57.200,1.119,7.200,9.640
358,3.000,9.143,57.800,1.131,8.600,9.570
318,4.600,8.686,62.600,1.225,1.600,9.920
331,4.400,8.743,62.200,1.217,2.600,9.870
310,4.600,8.686,64.200,1.256,2.400,9.880
351,4.000,8.857,60.600,1.186,4.600,9.770
352,3.400,9.029,58.800,1.151,7.600,9.620
339,3.600,8.971,58.800,1.151,6.600,9.670
323,4.800,8.629,64.400,1.260,2.000,9.900
338,4.400,8.743,62.600,1.225,3.600,9.820
337,4.600,8.686,62.400,1.221,2.400,9.880
322,4.800,8.629,64.200,1.256,2.200,9.890
330,4.800,8.629,63.200,1.237,2.600,9.870
353,3.600,8.971,57.600,1.127,7.400,9.630
336,4.800,8.629,62.200,1.217,2.400,9.880
317,5.000,8.571,63.600,1.245,2.000,9.900
329,5.000,8.571,64.200,1.256,3.000,9.850
309,5.200,8.514,65.400,1.280,3.000,9.850
308,4.800,8.629,64.800,1.268,5.200,9.740
306,5.400,8.457,63.800,1.249,2.200,9.890
44,5.200,8.514,64.000,1.252,3.600,9.820
297,5.200,8.514,64.600,1.264,4.000,9.800
340,4.200,8.800,58.400,1.143,7.400,9.630
332,5.000,8.571,59.800,1.170,3.400,9.830
343,5.000,8.571,61.800,1.209,4.400,9.780
319,5.800,8.343,62.000,1.213,0.600,9.970
346,4.400,8.743,58.400,1.143,7.200,9.640
344,5.400,8.457,62.200,1.217,3.000,9.850
326,5.200,8.514,61.200,1.198,4.200,9.790
313,5.600,8.400,62.600,1.225,2.600,9.870
325,5.400,8.457,60.400,1.182,3.000,9.850
333,5.000,8.571,59.600,1.166,5.000,9.750
296,5.200,8.514,65.200,1.276,6.200,9.690
314,5.800,8.343,63.600,1.245,2.200,9.890
350,5.000,8.571,60.200,1.178,6.200,9.690
355,5.000,8.571,59.200,1.159,6.600,9.670
349,5.000,8.571,58.800,1.151,6.600,9.670
321,6.200,8.229,62.400,1.221,1.400,9.930
357,4.400,8.743,58.800,1.151,10.400,9.480
56,6.000,8.286,64.800,1.268,4.000,9.800
348,5.400,8.457,60.400,1.182,5.800,9.710
61,6.200,8.229,64.800,1.268,3.000,9.850
60,6.200,8.229,64.800,1.268,3.400,9.830
32,5.600,8.400,60.400,1.182,5.800,9.710
33,5.800,8.343,60.400,1.182,4.800,9.760
21,5.600,8.400,60.200,1.178,6.000,9.700
34,5.400,8.457,60.800,1.190,7.400,9.630
46,6.000,8.286,61.600,1.205,4.400,9.780
328,6.600,8.114,61.600,1.205,1.000,9.950
45,6.000,8.286,62.600,1.225,5.400,9.730
347,5.400,8.457,58.200,1.139,7.200,9.640
35,6.000,8.286,61.200,1.198,5.200,9.740
335,6.600,8.114,61.600,1.205,2.000,9.900
342,6.000,8.286,61.000,1.194,5.200,9.740
320,6.400,8.171,61.000,1.194,3.000,9.850
345,6.000,8.286,60.400,1.182,5.600,9.720
53,6.600,8.114,63.400,1.241,3.400,9.830
52,6.800,8.057,64.400,1.260,2.800,9.860
315,6.600,8.114,65.400,1.280,4.600,9.770
47,6.600,8.114,60.400,1.182,3.000,9.850
354,5.800,8.343,57.000,1.115,6.800,9.660
59,7.000,8.000,64.200,1.256,2.800,9.860
334,6.400,8.171,60.000,1.174,4.800,9.760
43,6.600,8.114,63.200,1.237,5.000,9.750
341,6.600,8.114,59.600,1.166,3.800,9.810
31,6.400,8.171,62.000,1.213,6.200,9.690
20,6.000,8.286,59.800,1.170,7.800,9.610
49,7.000,8.000,63.800,1.249,3.800,9.810
22,6.200,8.229,59.600,1.166,6.800,9.660
58,7.400,7.886,63.400,1.241,1.800,9.910
18,6.200,8.229,58.200,1.139,6.800,9.660
48,7.200,7.943,63.600,1.245,3.600,9.820
24,6.200,8.229,59.000,1.155,8.000,9.600
327,7.200,7.943,61.200,1.198,3.200,9.840
54,7.200,7.943,64.600,1.264,4.600,9.770
19,6.600,8.114,59.600,1.166,6.800,9.660
64,7.400,7.886,66.200,1.295,5.000,9.750
38,7.200,7.943,61.000,1.194,4.800,9.760
30,7.200,7.943,62.000,1.213,5.400,9.730
12,6.200,8.229,57.600,1.127,9.800,9.510
4,6.400,8.171,56.600,1.108,8.800,9.560
62,8.000,7.714,65.000,1.272,3.400,9.830
13,6.800,8.057,57.800,1.131,7.600,9.620
39,7.200,7.943,61.000,1.194,6.800,9.660
11,6.800,8.057,57.200,1.119,7.800,9.610
17,6.800,8.057,60.200,1.178,9.000,9.550
15,7.400,7.886,59.400,1.162,6.000,9.700
51,8.000,7.714,61.600,1.205,3.600,9.820
23,6.800,8.057,58.400,1.143,9.400,9.530
65,8.800,7.486,70.600,1.382,2.800,9.860
55,8.400,7.600,64.200,1.256,2.800,9.860
5,7.200,7.943,59.600,1.166,8.200,9.590
37,8.000,7.714,61.000,1.194,4.400,9.780
40,8.000,7.714,59.200,1.159,3.800,9.810
16,7.400,7.886,58.800,1.151,7.200,9.640
1,6.800,8.057,56.667,1.109,10.067,9.497
41,8.000,7.714,63.200,1.237,6.000,9.700
29,8.400,7.600,60.800,1.190,3.000,9.850
50,8.200,7.657,61.800,1.209,4.800,9.760
0,7.000,8.000,56.400,1.104,9.600,9.520
6,7.400,7.886,60.400,1.182,9.000,9.550
26,7.800,7.771,58.600,1.147,6.200,9.690
2,7.200,7.943,56.667,1.109,9.267,9.537
9,7.600,7.829,57.600,1.127,8.400,9.580
42,9.000,7.429,62.600,1.225,2.800,9.860
7,7.600,7.829,57.200,1.119,10.000,9.500
10,8.000,7.714,56.200,1.100,9.000,9.550
27,8.600,7.543,60.600,1.186,7.400,9.630
8,7.800,7.771,55.800,1.092,10.200,9.490
36,8.800,7.486,60.000,1.174,6.200,9.690
239,6.000,8.286,574.600,10.000,384.000,0.000
293,8.200,7.657,64.200,1.256,12.600,9.370
3,8.400,7.600,55.400,1.084,8.600,9.570
289,10.200,7.086,68.000,1.331,4.800,9.760
25,9.000,7.429,58.000,1.135,8.600,9.570
28,9.600,7.257,60.000,1.174,6.800,9.660
295,10.200,7.086,71.800,1.405,8.400,9.580
294,10.200,7.086,64.400,1.260,6.400,9.680
67,9.400,7.314,63.400,1.241,10.800,9.460
240,7.000,8.000,573.000,10.000,388.000,0.000
292,8.600,7.543,70.400,1.378,18.600,9.070
14,10.000,7.143,57.600,1.127,7.800,9.610
63,11.000,6.857,68.000,1.331,7.000,9.650
238,7.800,7.771,577.000,10.000,378.400,0.000
237,9.200,7.371,573.600,10.000,373.200,0.000
66,11.600,6.686,72.400,1.417,15.400,9.230
68,13.400,6.171,67.200,1.315,9.200,9.540
291,14.400,5.886,81.200,1.589,12.200,9.390
290,14.600,5.829,67.800,1.327,14.000,9.300
69,16.200,5.371,74.600,1.460,13.600,9.320
285,15.200,5.657,76.600,1.499,21.400,8.930
236,14.200,5.943,581.400,10.000,362.800,0.000
70,16.000,5.429,64.800,1.268,16.400,9.180
71,20.600,4.114,76.400,1.495,5.800,9.710
232,17.000,5.143,587.800,10.000,347.000,0.000
246,68.200,0.000,275.000,5.382,9.800,9.510
233,18.000,4.857,580.400,10.000,351.000,0.000
288,19.600,4.400,77.400,1.515,22.600,8.870
234,18.400,4.743,578.800,10.000,353.600,0.000
72,18.800,4.629,80.200,1.569,30.200,8.490
235,19.400,4.457,582.600,10.000,359.400,0.000
282,21.000,4.000,69.600,1.362,18.200,9.090
287,22.000,3.714,72.200,1.413,13.800,9.310
113,71.600,0.000,281.200,5.503,22.600,8.870
73,19.200,4.514,62.800,1.229,29.000,8.550
75,22.600,3.543,82.200,1.609,19.400,9.030
286,19.200,4.514,64.000,1.252,33.000,8.350
231,21.200,3.943,584.600,10.000,346.800,0.000
74,23.600,3.257,74.000,1.448,20.800,8.960
117,82.400,0.000,363.600,7.115,74.800,6.260
281,25.400,2.743,82.000,1.605,25.200,8.740
283,27.800,2.057,77.800,1.523,11.800,9.410
76,24.600,2.971,69.800,1.366,27.400,8.630
118,102.000,0.000,382.800,7.491,91.000,5.450
115,85.000,0.000,338.200,6.618,77.200,6.140
78,25.400,2.743,89.800,1.757,36.200,8.190
230,26.000,2.571,589.600,10.000,341.400,0.000
225,26.600,2.400,576.000,10.000,326.600,0.000
284,27.200,2.229,91.200,1.785,34.000,8.300
81,29.800,1.486,88.600,1.734,18.600,9.070
226,27.000,2.286,575.600,10.000,325.200,0.000
278,28.800,1.771,83.800,1.640,25.600,8.720
242,54.800,0.000,355.000,6.947,101.200,4.940
94,55.200,0.000,127.400,2.493,14.000,9.300
77,33.200,0.514,93.200,1.824,11.200,9.440
250,63.400,0.000,203.000,3.973,45.000,7.750
268,49.000,0.000,102.400,2.004,5.800,9.710
229,29.200,1.657,586.800,10.000,337.200,0.000
261,62.800,0.000,149.800,2.932,25.800,8.710
111,85.200,0.000,212.800,4.164,51.000,7.450
276,44.400,0.000,99.600,1.949,7.200,9.640
253,57.800,0.000,156.200,3.057,29.600,8.520
244,73.800,0.000,280.400,5.487,81.600,5.920
274,32.400,0.743,88.800,1.738,21.600,8.920
98,70.800,0.000,114.400,2.239,16.800,9.160
243,60.400,0.000,332.600,6.509,103.200,4.840
227,30.400,1.314,577.400,10.000,323.400,0.000
106,54.000,0.000,160.600,3.143,36.600,8.170
257,55.600,0.000,139.800,2.736,28.800,8.560
87,40.000,0.000,91.000,1.781,10.000,9.500
265,63.400,0.000,112.000,2.192,18.800,9.060
259,55.800,0.000,109.000,2.133,18.000,9.100
110,80.600,0.000,229.000,4.481,66.200,6.690
86,56.800,0.000,97.200,1.902,15.000,9.250
103,62.000,0.000,155.000,3.033,39.000,8.050
92,63.400,0.000,102.000,1.996,18.600,9.070
267,46.800,0.000,93.000,1.820,16.200,9.190
80,44.400,0.000,88.800,1.738,15.600,9.220
116,86.800,0.000,291.000,5.695,94.800,5.260
88,42.800,0.000,95.600,1.871,18.600,9.070
266,56.800,0.000,99.000,1.937,20.000,9.000
97,59.600,0.000,126.400,2.474,31.800,8.410
100,73.200,0.000,172.000,3.366,50.200,7.490
275,33.400,0.457,80.000,1.566,25.200,8.740
273,51.200,0.000,90.400,1.769,20.800,8.960
93,52.200,0.000,100.800,1.973,25.200,8.740
107,89.400,0.000,246.000,4.814,82.200,5.890
280,38.800,0.000,84.000,1.644,18.800,9.060
84,33.600,0.400,95.600,1.871,31.400,8.430
90,51.600,0.000,100.600,1.969,25.800,8.710
264,48.400,0.000,104.400,2.043,27.400,8.630
104,80.200,0.000,156.200,3.057,47.800,7.610
254,75.200,0.000,218.400,4.274,72.600,6.370
82,33.200,0.514,77.400,1.515,27.800,8.610
260,49.400,0.000,111.400,2.180,34.200,8.290
277,33.400,0.457,108.000,2.114,42.200,7.890
102,67.400,0.000,153.200,2.998,51.600,7.420
272,46.600,0.000,86.200,1.687,28.400,8.580
247,79.600,0.000,283.200,5.542,105.800,4.710
256,63.000,0.000,147.800,2.892,53.000,7.350
249,77.200,0.000,172.200,3.370,62.800,6.860
91,47.400,0.000,95.000,1.859,33.400,8.330
263,53.600,0.000,115.800,2.266,42.000,7.900
251,78.200,0.000,174.800,3.421,65.800,6.710
279,33.800,0.343,68.800,1.346,31.400,8.430
83,51.000,0.000,107.200,2.098,40.000,8.000
79,32.200,0.800,64.200,1.256,39.200,8.040
271,38.400,0.000,95.200,1.863,35.400,8.230
89,61.200,0.000,126.800,2.481,47.800,7.610
146,119.000,0.000,654.800,10.000,198.400,0.080
108,84.000,0.000,179.800,3.519,68.800,6.560
219,34.800,0.057,565.800,10.000,301.200,0.000
248,79.800,0.000,211.200,4.133,81.600,5.920
270,40.600,0.000,108.000,2.114,42.000,7.900
96,58.000,0.000,117.600,2.301,46.000,7.700
120,148.400,0.000,750.000,10.000,247.000,0.000
121,159.000,0.000,715.600,10.000,255.400,0.000
122,156.800,0.000,733.800,10.000,248.600,0.000
123,150.000,0.000,713.800,10.000,258.400,0.000
124,136.000,0.000,743.000,10.000,230.200,0.000
125,141.800,0.000,682.000,10.000,265.200,0.000
126,154.400,0.000,690.800,10.000,257.600,0.000
127,133.400,0.000,719.400,10.000,242.600,0.000
128,153.000,0.000,666.600,10.000,257.600,0.000
129,146.000,0.000,678.200,10.000,260.200,0.000
130,145.600,0.000,684.400,10.000,230.800,0.000
131,155.800,0.000,664.600,10.000,254.600,0.000
132,143.200,0.000,671.800,10.000,261.600,0.000
133,152.600,0.000,647.600,10.000,276.600,0.000
134,143.800,0.000,677.800,10.000,260.000,0.000
135,131.800,0.000,696.800,10.000,252.400,0.000
136,139.400,0.000,673.600,10.000,276.200,0.000
137,142.400,0.000,671.200,10.000,252.400,0.000
138,127.400,0.000,710.400,10.000,223.600,0.000
139,115.800,0.000,669.600,10.000,237.400,0.000
140,124.800,0.000,647.600,10.000,276.800,0.000
141,115.400,0.000,611.600,10.000,283.800,0.000
142,108.400,0.000,680.600,10.000,244.400,0.000
143,112.800,0.000,692.800,10.000,216.400,0.000
144,127.000,0.000,684.000,10.000,228.000,0.000
145,128.400,0.000,669.200,10.000,236.600,0.000
147,100.600,0.000,567.800,10.000,233.400,0.000
148,119.200,0.000,543.200,10.000,284.800,0.000
149,119.200,0.000,601.800,10.000,259.800,0.000
150,107.600,0.000,553.800,10.000,295.600,0.000
151,128.400,0.000,585.600,10.000,256.800,0.000
152,142.800,0.000,579.200,10.000,248.000,0.000
153,129.600,0.000,585.600,10.000,253.000,0.000
154,128.200,0.000,549.800,10.000,260.000,0.000
155,128.400,0.000,531.400,10.000,262.600,0.000
156,122.200,0.000,564.600,10.000,243.200,0.000
157,117.800,0.000,531.000,10.000,263.600,0.000
158,119.800,0.000,533.400,10.000,259.200,0.000
159,128.800,0.000,522.600,10.000,270.800,0.000
160,119.800,0.000,537.600,10.000,255.000,0.000
161,105.000,0.000,548.800,10.000,241.200,0.000
162,102.000,0.000,524.200,10.000,258.600,0.000
163,114.000,0.000,528.600,10.000,242.600,0.000
164,110.400,0.000,527.000,10.000,251.000,0.000
165,106.400,0.000,521.800,10.000,254.800,0.000
166,88.000,0.000,546.400,10.000,257.000,0.000
167,77.400,0.000,533.000,10.000,245.400,0.000
168,85.200,0.000,524.400,10.000,238.400,0.000
169,80.200,0.000,522.000,10.000,223.800,0.000
170,93.400,0.000,517.000,10.000,225.600,0.000
171,83.800,0.000,539.600,10.000,220.200,0.000
172,77.400,0.000,516.800,10.000,238.000,0.000
173,69.600,0.000,540.000,10.000,223.600,0.000
175,75.400,0.000,549.600,10.000,225.200,0.000
178,78.800,0.000,515.200,10.000,207.600,0.000
181,75.200,0.000,530.000,10.000,223.400,0.000
183,71.400,0.000,511.400,10.000,223.600,0.000
195,62.800,0.000,511.400,10.000,242.400,0.000
196,60.400,0.000,516.200,10.000,244.000,0.000
197,51.800,0.000,523.400,10.000,253.600,0.000
198,52.200,0.000,524.400,10.000,255.400,0.000
199,56.600,0.000,526.400,10.000,263.000,0.000
200,60.400,0.000,544.600,10.000,254.000,0.000
201,60.000,0.000,556.600,10.000,252.200,0.000
202,54.600,0.000,581.000,10.000,244.000,0.000
203,52.400,0.000,559.800,10.000,259.600,0.000
204,44.200,0.000,563.200,10.000,254.400,0.000
205,49.000,0.000,563.600,10.000,255.800,0.000
206,52.000,0.000,562.000,10.000,255.200,0.000
207,59.800,0.000,561.000,10.000,260.600,0.000
208,53.200,0.000,573.400,10.000,269.200,0.000
209,50.400,0.000,569.600,10.000,282.600,0.000
210,43.600,0.000,564.800,10.000,288.000,0.000
211,45.600,0.000,564.200,10.000,290.000,0.000
212,43.000,0.000,562.200,10.000,292.800,0.000
213,40.600,0.000,548.200,10.000,296.800,0.000
214,50.800,0.000,563.000,10.000,293.200,0.000
215,48.800,0.000,570.800,10.000,296.400,0.000
216,46.400,0.000,576.200,10.000,293.000,0.000
217,37.400,0.000,578.400,10.000,306.800,0.000
218,36.400,0.000,569.400,10.000,309.200,0.000
220,40.400,0.000,569.000,10.000,301.000,0.000
221,48.200,0.000,564.800,10.000,310.600,0.000
222,42.800,0.000,576.000,10.000,308.400,0.000
223,40.000,0.000,580.000,10.000,316.000,0.000
224,35.800,0.000,580.400,10.000,323.800,0.000
228,37.400,0.000,583.800,10.000,328.800,0.000
180,78.400,0.000,510.800,9.996,228.200,0.000
185,69.600,0.000,510.200,9.984,228.600,0.000
258,76.800,0.000,135.400,2.650,53.800,7.310
269,61.800,0.000,118.200,2.313,47.400,7.630
194,70.000,0.000,508.000,9.941,229.400,0.000
262,69.000,0.000,147.800,2.892,59.200,7.040
176,80.400,0.000,505.800,9.898,229.000,0.000
109,80.600,0.000,176.200,3.448,71.000,6.450
119,102.400,0.000,458.400,8.971,181.600,0.920
174,60.800,0.000,504.600,9.875,231.200,0.000
177,80.800,0.000,504.600,9.875,223.000,0.000
189,81.200,0.000,504.400,9.871,232.800,0.000
193,64.800,0.000,504.000,9.863,228.000,0.000
188,79.800,0.000,501.600,9.816,226.800,0.000
95,66.400,0.000,132.400,2.591,55.600,7.220
179,83.800,0.000,500.600,9.796,218.800,0.000
182,79.800,0.000,496.800,9.722,248.400,0.000
186,74.600,0.000,496.000,9.706,232.600,0.000
101,76.200,0.000,156.000,3.053,67.600,6.620
99,57.000,0.000,110.600,2.164,50.000,7.500
187,77.600,0.000,493.600,9.659,228.600,0.000
85,41.600,0.000,74.200,1.452,36.600,8.170
192,72.200,0.000,491.600,9.620,230.800,0.000
112,90.000,0.000,209.400,4.098,91.200,5.440
184,81.200,0.000,487.200,9.534,235.000,0.000
255,70.200,0.000,159.000,3.112,71.800,6.410
245,79.600,0.000,215.000,4.207,94.200,5.290
114,91.800,0.000,293.400,5.742,128.200,3.590
190,75.800,0.000,472.600,9.249,226.600,0.000
252,76.800,0.000,130.200,2.548,66.800,6.660
191,82.800,0.000,469.400,9.186,234.000,0.000
105,80.800,0.000,128.200,2.509,67.200,6.640
241,40.800,0.000,441.000,8.630,199.200,0.040
